Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
156,3091,0.027858143669783692,residential,False
157,3065,0.01064337951675528,service,False
157,5279,0.002876381738186402,service,False
158,1941,0.012684887383027975,tertiary,False
158,5386,0.042113432863502186,tertiary,False
159,2902,0.051391673278045655,service,False
160,1587,0.12752426508542736,primary,True
160,5017,0.020954537088268478,tertiary,False
161,2884,0.012968621070696218,residential,False
161,5709,0.004803084414233392,residential,False
162,1480,0.012351286353315066,service,False
162,3783,0.02664007127071922,service,False
162,5413,0.012825554715951265,service,False
163,2188,0.013068509877096027,residential,False
163,2925,0.00970239339813297,residential,False
164,357,0.02818941498343209,service,False
164,2052,0.02236981394137257,service,False
165,1730,0.006235222788731058,secondary,False
165,4943,0.008383785773848306,secondary,False
166,1843,0.05329380575555654,service,False
166,3947,0.019037773727156673,service,False
166,5098,0.026370071999253893,service,False
167,797,0.018171144752434008,service,False
168,1372,0.026013475571894016,residential,False
168,2040,0.026355838816762674,residential,False
169,604,0.020786644110225672,service,False
170,2852,0.003948143838526496,service,False
170,3772,0.010554187465735049,service,False
171,758,0.0033482951356269245,service,False
171,4103,0.0033691202322924073,service,False
172,2347,0.011875047490035347,secondary,False
172,4376,0.006241326968844039,residential,False
172,4528,0.02699307853185306,secondary,False
173,1076,0.007534838972631616,service,False
173,1131,0.0324414228045392,service,False
174,1154,0.02351219982611648,primary,True
175,3620,0.0026300007310238755,service,False
175,5186,0.015351494167195532,service,False
176,621,0.014374879329388595,secondary,False
176,1494,0.00869574681369791,service,False
176,5227,0.01730669916105958,secondary,False
177,1179,0.020010805806336796,primary,True
177,4500,0.010749758929466939,residential,False
177,5069,0.018754363216804747,primary_link,False
178,2479,0.015629211925337918,secondary,True
179,1821,0.023717927625051406,service,False
180,237,0.0042352574874163565,residential,False
180,1483,0.04239189496105357,service,False
180,4218,0.02688090067688759,residential,False
181,350,0.006288583645408101,service,False
181,1943,0.014491426678793681,service,False
182,208,0.03599839415973416,service,False
182,2585,0.025258443120158333,service,False
183,3450,0.02628362095474809,service,False
183,4244,0.007654637903540027,service,False
184,513,0.014843870634138905,tertiary,False
184,2594,0.023354265450261157,primary,True
185,1952,0.016373832479063072,service,False
185,2371,0.008117686709199861,service,False
186,2701,0.017598835440046364,service,False
187,2242,0.0076792180485947895,service,False
187,2288,0.0076900546028195686,service,False
188,583,0.003626440587542406,service,False
188,4422,0.03043542512233801,service,False
189,4987,0.03933952209975988,service,False
189,5477,0.01733770927530734,service,False
190,3989,0.0031813968071728507,primary_link,False
190,4796,0.0035296687975065223,primary_link,False
191,4338,0.006892008296236452,service,False
191,4931,0.006533729692804124,service,False
192,232,0.0021218898174134426,residential,False
192,1127,0.0117426333131807,residential,False
193,1948,0.008716256973755429,tertiary,False
193,5646,0.029879922814378432,tertiary,False
194,1655,0.037485957993272916,service,False
194,2502,0.027031005514652543,service,False
195,1400,0.05627035242155618,service,False
195,3920,0.011980699360253037,service,False
196,5017,0.019057151423231625,tertiary,True
197,4488,0.016501601897039527,tertiary,True
198,5195,0.018081902425799528,tertiary,True
199,1278,0.004999345721054433,primary_link,True
200,1501,0.00981794909062094,service,False
200,4068,0.01904828233505457,service,False
201,657,0.026082620855211236,service,False
201,1934,0.06311305102427339,service,False
202,1934,0.08201117867379339,service,False
203,5140,0.011628290608465238,service,False
204,2166,0.006678226652193468,residential,False
204,5387,0.007051639126025656,residential,False
205,890,0.0623507236251245,service,False
205,1342,0.028995473893616248,service,False
205,3786,0.08531412449471494,service,False
205,4454,0.009003722780057444,service,False
206,1191,0.005011263554706562,service,False
206,1933,0.018529331928409283,service,False
206,4123,0.006936926335117669,service,False
207,665,0.017980564078035024,residential,False
207,1273,0.03149291398424573,residential,False
207,3271,0.030863646250560865,residential,False
207,5395,0.02584338022553729,residential,False
208,42,0.0058771088696590815,service,False
208,182,0.03599839415973416,service,False
209,3020,0.006111015716350962,service,False
209,3878,0.013379069206206408,service,False
210,1847,0.0077043197284621095,tertiary,False
210,2927,0.011685501134019692,tertiary,False
211,257,0.015853234549677176,service,False
211,1232,0.04358780736675513,service,False
211,2450,0.022040350939401262,service,False
211,3387,0.022453994980076372,service,False
212,81,0.00319367620443944,secondary_link,True
213,1982,0.010659014743275567,tertiary,True
214,3925,0.010398274467311073,service,False
214,4778,0.009797344409927496,service,False
215,462,0.0046041448814079095,service,False
215,2339,0.008639321154799491,service,False
216,29,0.0036270259907754884,service,False
216,1509,0.02108452833724358,service,False
217,3116,0.04486806342512773,tertiary,False
217,4786,0.016590007960996876,tertiary,False
218,3001,0.0060972738831107974,service,False
218,4647,0.025326607035890156,service,False
219,5354,0.04854621616022429,tertiary,True
220,773,0.007105545378212496,service,False
220,1475,0.007416963121661916,service,False
220,3607,0.00592879907195597,service,False
221,3076,0.010399078919672759,service,False
221,3167,0.004708304890586526,service,False
222,3084,0.01606648061087259,service,False
222,3174,0.020150849146495498,tertiary,True
223,1511,0.009476805982096185,service,False
224,3104,0.010917537955787196,tertiary,False
224,3886,0.05498675281226088,tertiary,False
225,56,0.026275165979451693,residential,False
225,5448,0.027455559641480234,residential,False
226,3422,0.0501650532217104,residential,False
226,4137,0.006402079310054072,residential,False
227,1001,0.015502637639609579,service,False
227,3061,0.005485519243925089,service,False
228,970,0.026207552352572213,service,False
228,3601,0.008476805466944643,service,False
229,232,0.008080016439598933,residential,False
229,3916,0.007629965030028923,residential,False
230,1990,0.025889170740580055,service,False
230,2855,0.04214602116097061,service,False
231,3891,0.006863043522853468,service,False
231,4104,0.0038691087961353334,service,False
232,192,0.0021218898174134426,residential,False
232,229,0.008080016439598933,residential,False
233,340,0.004859779368864683,service,False
233,4924,0.004854409482809539,service,False
234,3287,0.003199082982005191,service,False
235,2723,0.008109368193849819,service,True
236,344,0.036095095775266844,primary,True
237,180,0.0042352574874163565,residential,False
237,3777,0.06141230691412035,residential,False
237,5272,0.024545436604550646,residential,False
238,2833,0.0269497359904544,tertiary,True
239,5343,0.005173944192643797,residential,False
239,5522,0.053600535199114924,service,False
239,5661,0.01999798497157744,residential,False
240,1135,0.010084933191749404,service,False
240,2326,0.021112006622135557,service,False
241,1677,0.027491429839011306,service,False
241,3791,0.020655621945426333,service,False
242,2333,0.04803823197001945,service,False
242,3933,0.011282877113725866,service,False
243,785,0.0036124483930075014,service,False
